invoice_id,date,customer_id,customer_contact_info,billing_address,salesperson,item_description,part_number,variant_group,quantity,unit_price,total_amount
INV001,2024-01-23,CUST001,customer4@email.com,"824 Main St, City",SP04,Faucet,FA102,FA,3,194,582
INV001,2024-01-23,CUST001,customer4@email.com,"824 Main St, City",SP04,Sink,SI102,SI,5,76,380
INV001,2024-01-23,CUST001,customer4@email.com,"824 Main St, City",SP04,Cabinet,CA102,CA,1,218,218
INV001,2024-01-23,CUST001,customer4@email.com,"824 Main St, City",SP04,Sink,SI103,SI,4,195,780
INV002,2024-02-02,CUST010,customer3@email.com,"441 Main St, City",SP01,Window,WI103,WI,4,116,464
INV002,2024-02-02,CUST010,customer3@email.com,"441 Main St, City",SP01,Frame,FR102,FR,5,242,1210
INV003,2024-03-23,CUST006,customer3@email.com,"786 Main St, City",SP05,Cabinet,CA102,CA,1,235,235
INV004,2024-02-09,CUST003,customer4@email.com,"449 Main St, City",SP04,Hinge,HI101,HI,3,482,1446
INV004,2024-02-09,CUST003,customer4@email.com,"449 Main St, City",SP04,Lock,LO103,LO,5,69,345
INV005,2024-03-25,CUST006,customer10@email.com,"234 Main St, City",SP05,Door,DO103,DO,5,464,2320
INV005,2024-03-25,CUST006,customer10@email.com,"234 Main St, City",SP05,Lock,LO102,LO,1,260,260
INV005,2024-03-25,CUST006,customer10@email.com,"234 Main St, City",SP05,Door,DO103,DO,2,277,554
INV005,2024-03-25,CUST006,customer10@email.com,"234 Main St, City",SP05,Lock,LO102,LO,2,323,646
INV006,2024-01-31,CUST005,customer8@email.com,"955 Main St, City",SP02,Drain,DR102,DR,3,448,1344
INV006,2024-01-31,CUST005,customer8@email.com,"955 Main St, City",SP02,Sink,SI103,SI,4,132,528
INV006,2024-01-31,CUST005,customer8@email.com,"955 Main St, City",SP02,Cabinet,CA101,CA,3,76,228
INV007,2024-03-23,CUST008,customer6@email.com,"667 Main St, City",SP01,Window,WI101,WI,3,280,840
INV008,2024-03-06,CUST003,customer7@email.com,"193 Main St, City",SP02,Screen,SC101,SC,4,307,1228
INV008,2024-03-06,CUST003,customer7@email.com,"193 Main St, City",SP02,Window,WI102,WI,1,241,241
INV008,2024-03-06,CUST003,customer7@email.com,"193 Main St, City",SP02,Window,WI102,WI,1,479,479
INV008,2024-03-06,CUST003,customer7@email.com,"193 Main St, City",SP02,Screen,SC101,SC,2,69,138
INV009,2024-02-06,CUST008,customer3@email.com,"877 Main St, City",SP04,Sink,SI101,SI,1,181,181
INV009,2024-02-06,CUST008,customer3@email.com,"877 Main St, City",SP04,Sink,SI101,SI,5,422,2110
INV009,2024-02-06,CUST008,customer3@email.com,"877 Main St, City",SP04,Drain,DR101,DR,3,171,513
INV009,2024-02-06,CUST008,customer3@email.com,"877 Main St, City",SP04,Sink,SI101,SI,2,264,528
INV010,2024-03-22,CUST010,customer8@email.com,"164 Main St, City",SP01,Cabinet,CA103,CA,5,173,865
INV010,2024-03-22,CUST010,customer8@email.com,"164 Main St, City",SP01,Drain,DR102,DR,1,364,364
INV010,2024-03-22,CUST010,customer8@email.com,"164 Main St, City",SP01,Sink,SI103,SI,4,145,580
INV010,2024-03-22,CUST010,customer8@email.com,"164 Main St, City",SP01,Faucet,FA103,FA,3,84,252
INV011,2024-03-08,CUST009,customer9@email.com,"905 Main St, City",SP05,Frame,FR103,FR,4,241,964
INV012,2024-02-02,CUST001,customer6@email.com,"907 Main St, City",SP01,Lock,LO101,LO,5,426,2130
INV012,2024-02-02,CUST001,customer6@email.com,"907 Main St, City",SP01,Hinge,HI101,HI,3,329,987
INV012,2024-02-02,CUST001,customer6@email.com,"907 Main St, City",SP01,Door,DO103,DO,2,475,950
INV013,2024-03-28,CUST008,customer8@email.com,"746 Main St, City",SP02,Knob,KN101,KN,3,153,459
INV013,2024-03-28,CUST008,customer8@email.com,"746 Main St, City",SP02,Door,DO101,DO,1,211,211
INV014,2024-02-09,CUST009,customer7@email.com,"934 Main St, City",SP05,Window,WI103,WI,2,196,392
INV014,2024-02-09,CUST009,customer7@email.com,"934 Main St, City",SP05,Window,WI101,WI,3,189,567
INV014,2024-02-09,CUST009,customer7@email.com,"934 Main St, City",SP05,Window,WI102,WI,4,254,1016
INV014,2024-02-09,CUST009,customer7@email.com,"934 Main St, City",SP05,Screen,SC102,SC,2,304,608
INV015,2024-03-29,CUST008,customer6@email.com,"916 Main St, City",SP05,Hinge,HI102,HI,5,471,2355
INV015,2024-03-29,CUST008,customer6@email.com,"916 Main St, City",SP05,Door,DO102,DO,3,102,306
INV015,2024-03-29,CUST008,customer6@email.com,"916 Main St, City",SP05,Door,DO103,DO,3,206,618
INV016,2024-02-27,CUST010,customer7@email.com,"270 Main St, City",SP04,Window,WI102,WI,5,272,1360
INV016,2024-02-27,CUST010,customer7@email.com,"270 Main St, City",SP04,Window,WI101,WI,1,393,393
INV016,2024-02-27,CUST010,customer7@email.com,"270 Main St, City",SP04,Screen,SC103,SC,2,65,130
